# x	y	u	v	flags	mask
2.6523e+00	4.6104e+00	7.5497e-01	-2.6097e-01	0.0000e+00	0.0000e+00
2.8699e+00	4.6104e+00	6.8157e-01	-3.6724e-01	0.0000e+00	0.0000e+00
3.0874e+00	4.6104e+00	6.2974e-01	-4.0124e-01	0.0000e+00	0.0000e+00
3.3050e+00	4.6104e+00	5.6159e-01	-4.3912e-01	0.0000e+00	0.0000e+00
3.5226e+00	4.6104e+00	4.9521e-01	-4.3276e-01	0.0000e+00	0.0000e+00
3.7402e+00	4.6104e+00	4.4334e-01	-4.3993e-01	0.0000e+00	0.0000e+00
3.9577e+00	4.6104e+00	3.9441e-01	-4.5406e-01	0.0000e+00	0.0000e+00
4.1753e+00	4.6104e+00	3.7266e-01	-4.7982e-01	0.0000e+00	0.0000e+00
4.3929e+00	4.6104e+00	3.1367e-01	-4.7202e-01	0.0000e+00	0.0000e+00
4.6104e+00	4.6104e+00	2.5496e-01	-4.4423e-01	0.0000e+00	0.0000e+00
4.8280e+00	4.6104e+00	2.1254e-01	-4.2742e-01	0.0000e+00	0.0000e+00
5.0456e+00	4.6104e+00	1.5143e-01	-4.3244e-01	0.0000e+00	0.0000e+00
2.5901e-01	4.3929e+00	5.2775e-01	5.7115e-01	0.0000e+00	0.0000e+00
4.7659e-01	4.3929e+00	5.6812e-01	5.8912e-01	0.0000e+00	0.0000e+00
6.9416e-01	4.3929e+00	6.4048e-01	5.8340e-01	0.0000e+00	0.0000e+00
9.1173e-01	4.3929e+00	7.6107e-01	5.4306e-01	0.0000e+00	0.0000e+00
1.1293e+00	4.3929e+00	8.9512e-01	5.0433e-01	0.0000e+00	0.0000e+00
1.3469e+00	4.3929e+00	9.5610e-01	4.3961e-01	0.0000e+00	0.0000e+00
1.5644e+00	4.3929e+00	1.0208e+00	3.3741e-01	0.0000e+00	0.0000e+00
1.7820e+00	4.3929e+00	1.0736e+00	1.8248e-01	0.0000e+00	0.0000e+00
1.9996e+00	4.3929e+00	1.0485e+00	3.1430e-02	0.0000e+00	0.0000e+00
2.2172e+00	4.3929e+00	1.0326e+00	-8.8177e-02	0.0000e+00	0.0000e+00
2.4347e+00	4.3929e+00	9.3843e-01	-2.1329e-01	0.0000e+00	0.0000e+00
2.6523e+00	4.3929e+00	9.1091e-01	-3.3830e-01	0.0000e+00	0.0000e+00
2.8699e+00	4.3929e+00	7.8940e-01	-4.3486e-01	0.0000e+00	0.0000e+00
3.0874e+00	4.3929e+00	6.7432e-01	-4.5178e-01	0.0000e+00	0.0000e+00
3.3050e+00	4.3929e+00	5.7028e-01	-4.8074e-01	0.0000e+00	0.0000e+00
3.5226e+00	4.3929e+00	5.1831e-01	-5.0131e-01	0.0000e+00	0.0000e+00
3.7402e+00	4.3929e+00	4.4937e-01	-5.0179e-01	0.0000e+00	0.0000e+00
3.9577e+00	4.3929e+00	3.8920e-01	-5.0137e-01	0.0000e+00	0.0000e+00
4.1753e+00	4.3929e+00	3.4761e-01	-4.9608e-01	0.0000e+00	0.0000e+00
4.3929e+00	4.3929e+00	2.8868e-01	-4.8700e-01	1.0000e+00	0.0000e+00
4.6104e+00	4.3929e+00	2.3913e-01	-4.7712e-01	0.0000e+00	0.0000e+00
4.8280e+00	4.3929e+00	1.8540e-01	-4.5653e-01	0.0000e+00	0.0000e+00
5.0456e+00	4.3929e+00	1.5117e-01	-4.4191e-01	0.0000e+00	0.0000e+00
2.5901e-01	4.1753e+00	5.3723e-01	6.2900e-01	0.0000e+00	0.0000e+00
4.7659e-01	4.1753e+00	5.7608e-01	6.4984e-01	0.0000e+00	0.0000e+00
6.9416e-01	4.1753e+00	6.6397e-01	6.7242e-01	0.0000e+00	0.0000e+00
9.1173e-01	4.1753e+00	7.9498e-01	6.7881e-01	0.0000e+00	0.0000e+00
1.1293e+00	4.1753e+00	9.4630e-01	6.2333e-01	0.0000e+00	0.0000e+00
1.3469e+00	4.1753e+00	1.0541e+00	5.5303e-01	0.0000e+00	0.0000e+00
1.5644e+00	4.1753e+00	1.1411e+00	4.7989e-01	0.0000e+00	0.0000e+00
1.7820e+00	4.1753e+00	1.1748e+00	2.8373e-01	0.0000e+00	0.0000e+00
1.9996e+00	4.1753e+00	1.2278e+00	7.1359e-02	0.0000e+00	0.0000e+00
2.2172e+00	4.1753e+00	1.1889e+00	-7.9638e-02	0.0000e+00	0.0000e+00
2.4347e+00	4.1753e+00	1.0831e+00	-2.5388e-01	0.0000e+00	0.0000e+00
2.6523e+00	4.1753e+00	9.8450e-01	-4.0726e-01	0.0000e+00	0.0000e+00
2.8699e+00	4.1753e+00	8.8155e-01	-4.9084e-01	0.0000e+00	0.0000e+00
3.0874e+00	4.1753e+00	6.9683e-01	-5.2086e-01	0.0000e+00	0.0000e+00
3.3050e+00	4.1753e+00	5.6329e-01	-5.5404e-01	0.0000e+00	0.0000e+00
3.5226e+00	4.1753e+00	5.2256e-01	-5.4117e-01	0.0000e+00	0.0000e+00
3.7402e+00	4.1753e+00	4.6224e-01	-5.5274e-01	0.0000e+00	0.0000e+00
3.9577e+00	4.1753e+00	3.9679e-01	-5.5532e-01	0.0000e+00	0.0000e+00
4.1753e+00	4.1753e+00	3.1614e-01	-5.3360e-01	0.0000e+00	0.0000e+00
4.3929e+00	4.1753e+00	2.7265e-01	-4.9844e-01	0.0000e+00	0.0000e+00
4.6104e+00	4.1753e+00	2.3253e-01	-5.0028e-01	0.0000e+00	0.0000e+00
4.8280e+00	4.1753e+00	1.7523e-01	-4.9167e-01	0.0000e+00	0.0000e+00
5.0456e+00	4.1753e+00	1.5780e-01	-4.6054e-01	0.0000e+00	0.0000e+00
2.5901e-01	3.9577e+00	4.8339e-01	7.3178e-01	0.0000e+00	0.0000e+00
4.7659e-01	3.9577e+00	5.6930e-01	7.8164e-01	0.0000e+00	0.0000e+00
6.9416e-01	3.9577e+00	6.9529e-01	8.1653e-01	0.0000e+00	0.0000e+00
9.1173e-01	3.9577e+00	8.2596e-01	8.6266e-01	0.0000e+00	0.0000e+00
1.1293e+00	3.9577e+00	1.0209e+00	8.1207e-01	0.0000e+00	0.0000e+00
1.3469e+00	3.9577e+00	1.1492e+00	7.2331e-01	0.0000e+00	0.0000e+00
1.5644e+00	3.9577e+00	1.3433e+00	5.4739e-01	0.0000e+00	0.0000e+00
1.7820e+00	3.9577e+00	1.4452e+00	3.6749e-01	0.0000e+00	0.0000e+00
1.9996e+00	3.9577e+00	1.4621e+00	9.9507e-02	0.0000e+00	0.0000e+00
2.2172e+00	3.9577e+00	1.4166e+00	-1.2523e-01	0.0000e+00	0.0000e+00
2.4347e+00	3.9577e+00	1.2260e+00	-4.0436e-01	0.0000e+00	0.0000e+00
2.6523e+00	3.9577e+00	1.0793e+00	-5.4337e-01	0.0000e+00	0.0000e+00
2.8699e+00	3.9577e+00	9.1495e-01	-6.0314e-01	0.0000e+00	0.0000e+00
3.0874e+00	3.9577e+00	7.4433e-01	-6.5033e-01	0.0000e+00	0.0000e+00
3.3050e+00	3.9577e+00	5.8778e-01	-6.3341e-01	0.0000e+00	0.0000e+00
3.5226e+00	3.9577e+00	5.1861e-01	-6.1784e-01	0.0000e+00	0.0000e+00
3.7402e+00	3.9577e+00	4.1905e-01	-6.1854e-01	0.0000e+00	0.0000e+00
3.9577e+00	3.9577e+00	3.5623e-01	-6.1907e-01	0.0000e+00	0.0000e+00
4.1753e+00	3.9577e+00	3.0518e-01	-5.6558e-01	0.0000e+00	0.0000e+00
4.3929e+00	3.9577e+00	2.4073e-01	-5.7484e-01	0.0000e+00	0.0000e+00
4.6104e+00	3.9577e+00	1.9993e-01	-5.4716e-01	0.0000e+00	0.0000e+00
4.8280e+00	3.9577e+00	1.4542e-01	-5.1492e-01	0.0000e+00	0.0000e+00
